Index,followers,rt,text
0,665399,3,free ce learn strategi commun patient opioid cdclearn cdcinjuri
1,665399,12,new poster germ everywher wash hand get sick
2,665399,7,cdcncezid decemb 5 noon free webinar w ce examin nurs profess role antibiot stewardship regist
3,665399,14,mani peopl hiv year diagnosi earli treatment save live amp help protect partner vitalsign
4,665399,4,hiv test need diagnos peopl sooner listen cdc latest vitalsign podcast learn
5,665399,0,new vitalsign report cdc mobil app hiv test get app amp visit vital sign
6,665399,4,cdc releas new vitalsign digit press kit need hiv test current info amp resourc
7,665399,1,surveil cop call disast surveil nov 28 300 pm et regist cdcnssp updat isd astho
8,665399,5,free webinar w ce decemb 5 12pm et examin nurs profess role antibiot stewardship regist
9,665399,7,cdcncezid decemb 5 noon free webinar w ce examin nurs profess role antibiot stewardship regist
10,665399,0,syndrom surveil commun practic work join workgroup read nov cdcnssp updat
11,665399,13,cdcchronic 44 million caregiv unpaid amp care famili member amp friend
12,665399,16,want stop opioid crisi take cours via cdclearn connect hot train topic cdcinjuri
13,665399,14,copd lung diseas 3rd lead caus death us
14,665399,3,cdcchronic sandwichgener caregiv children amp parent rememb take care tip
15,665399,0,join next cdcnmi eshar webinar infopack session nmi data element interest nov 21 300pm et
16,665399,11,defin healthequ take region2phtc social determin health cours free ce cdclearn
17,665399,2,heard mmria data system matern mortal review committe use improv data amp prevent
18,665399,8,breath easier wpd2017 see child increas risk need vaccin stoppneumonia
19,665399,7,new onlin locat annual notifi diseas data avail get updat novemb cdcnmi note
20,665399,23,clinician take basic train latest flu vaccin recommend cdclearn fightflu
21,665399,2,join us tomorrow 2pm et hear dr jeffrey kline present vte emerg depart preregist
22,665399,2,miss cdc webinar seri cdcncbddd amp hemophiliaf project choic watch video
23,665399,3,free ce clinician learn diagnos treat amp help prevent std cdclearn uwptc
24,665399,1,kansa dept health amp environ use syndrom surveil agricultur injuri read nov cdcnssp updat
25,665399,2,oregon health author develop guid mobil public health depart see novemb cdcnssp updat
26,665399,3,tick mow amp rabbit make sick learn prevent tularemia
27,665399,11,cmichaelgibson share great inform advanc reduc thrombosi wtday17 watch
28,665399,18,today onehealthday explor link health peopl anim amp environ
29,665399,13,curiou futur healthcar listen ehr hcbiz podcast w dr chesley richard cdc amp shahidnshah
30,665399,2,save date next webinar seri blood disord 119 23pm et preregist
31,665399,11,wtday17 dr gibson present advanc reduc diseas burden thrombosi watch
32,665399,2,read octob issu cdcnssp updat 6 exampl new york citi show valu syndrom surveil data
33,665399,2,head cdc updat gener v2 mmg test scenario new algorithm defin uniqu case
34,665399,6,drmermincdc cfp cdc amp amjpublichealth seek paper dispar health outcom amp risk behaviorsgt
35,665399,0,know nssp essenc ad categori queri influenzalik ill see octob cdcnssp updat
36,665399,10,cdc mileston tracker app mileston checklist tip parent help babi learn grow
37,665399,0,need nndss case notif technic assist check cdcnmi websit inform
38,665399,11,physician know sign amp risk bloodclot amp pe learn best practic onlin train
39,665399,6,cdcncezid today 11am et free webinar w ce examin role healthcar environ infect control regist
40,665399,6,free hcp train stay uptod opioid prescrib amp pain tx free cme cdclearn pcssproject
41,665399,27,know differ type bloodclot learn healthliteracymonth
42,665399,9,join cdc informat innov webinar 1025 learn dr mandl experi use informat
43,665399,1,join us oct 24 300 pm et surveil cop call chapter regist cdcnssp updat
44,665399,4,cdcncezid oct 25 11am et free webinar w ce examin role healthcar environ infect control regist
45,665399,6,target health comm messag regionallevel effect uniform messag epidem respons
46,665399,0,cdc rep attend ga bio innov summit 1024 visit booth learn cdc tech amp
47,665399,10,learn infectionprevent healthcar set free ce cdclearn cdcncezid apic
48,665399,17,physician let bloodclot mysteri take onlin cours vte prevent treat clot
49,665399,1,oregon latest state product arbovir v13 case notif read nmi news oct cdcnmi note
50,665399,21,drdeancdc call paper amjpublichealth amp nchhstp publish theme issu health dispar deadlin 13118
51,665399,24,new poster germ everywher wash hand get sick
