Index,followers,rt,text
0,2673,4,california wildfir airqual advisori issu south coast aqmd santa barbara apcd ventura counti apc
1,2673,2,aqi code purpl unhealthi particl pollut level goleta ca peopl heart lung di
2,2673,16,eparesearch downwind california wildfir wildfir smoke travel far amp impact health learn
3,2673,35,eparesearch use mask protect wildfir smoke check fit amp look niosh n95 p100 mark creekfir thomasf
4,2673,0,aqi code red particl pollut level ojai santa barbara amp oakridg ca unhealthi peopl h
5,2673,10,eparesearch step take reduc exposur wildfir smoke
6,2673,5,eparesearch area downwind wildfir use smokesens app local air qualiti wildfir smoke info
7,2673,6,eparesearch near creekfir thomasfir wilsonfir littlemountainfir ryefir heed local alert amp evacu notic outsid
8,2673,4,heartlung diseas leav smoki area may give protect leav stay
9,2673,2,wildfiresmok make hard see outsid pay attent airqual forecast low visibl warn
10,2673,4,wildfir protect children older adult amp peopl heartlung diseas check local aq report amp talk w
11,2673,3,get latest inform wildfir southern california
12,2673,3,aqi code orang particl pollut level klamath fall prinevil oregon metro riversid c
13,2673,3,cdcenviron track program info locat tool great way find environmentalhealth issu commu
14,2673,12,eparesearch work determin environment stressor air pollut interact bodi acceler met
15,2673,0,aqi code red particl pollut level pm10 watertown south dakota unhealthi
16,2673,5,cdcasthma asthma plan outdoor activ air pollut level low knowasthma
17,2673,0,sever citi california forecast action day particl pollut levelsbakersfieldfresnoh
18,2673,4,cdcenviron cdc work w state feder amp nongovernment partner evalu impact airqual health
19,2673,4,eparesearch close 1122 wildlandfiresensor challeng sensor network measur dynam air qualiti wildfir
20,2673,13,eparegion2 air qualiti flag program fun tool learn air qualiti health check
21,2673,0,aqi code red particl pollut pm10 level hidden valley arizona unhealthi everyon may begin
22,2673,2,eparesearch get idea lowercost air sensor system use wildfir 11222 wildlandfir
23,2673,0,code red aqi particl pollut level hidden valley arizona unhealthi peopl heart lung dise
24,2673,0,aqi code orang particl pollut level lewiston idaho unhealthi sensit group
25,2673,0,aqi code orang particl pollut level pm10 hidden valley california unhealthi sensit
26,2673,4,announc reschedul date nation air qualiti confer announc nation air qualiti conf
27,2673,6,eparesearch learn research health environment effect air qualiti apha2017
28,2673,14,eparesearch put new way measur air qualiti hand public check airsensor toolbox
29,2673,3,millionheartsu today 1050amet epa millionheart discuss impact particl pollut heart health
30,2673,15,eparegion9 see stori map respons northern ca wildfir sonomafir napafir napastrong son
31,2673,1,code orang particl pollut level merc modesto california unhealthi sensit group se
32,2673,6,eparesearch design quickli deploy sensor network measur air pollut level wildfir wi
33,2673,2,eparesearch kansa citi ks neighborhood argentin turner amp armourdal join kctraq citizensci project
34,2673,0,code orang aqi particl pollut level portola yosemit nation park california unhealthi
35,2673,4,epaair epacertifi wood stove better insul airflow creat better burn less smoke
36,2673,5,eparesearch smokesens data collect continu io user januari 20 2018 citizensci
37,2673,0,aqi code orang particl pollut level north pole alaska unhealthi sensit group peopl
38,2673,5,eparesearch villag green air monitor station near find there one near v
39,2673,7,eparesearch concern fine particul matter kctraq studi learn publichealth implic
40,2673,0,code orang aqi particl pollut level phoenix pinal counti amp stanfield az metro riversid co
41,2673,12,epa hear data amp air qualiti leader talk citizensci smartciti air challeng webinar 1031 regist
42,2673,41,eparesearch particl pollut particul matter pm worldstrokeday 1029
43,2673,5,epaair medic profession learn particl pollut includ smoke affect health earn free ce credit
44,2673,2,cdcasthma know asthma trigger
45,2673,0,code maroon hazard particl pollut level gila river indian commun az everyon take st
46,2673,1,aqi code orang particl pollut level hanford amp coachella valley ca pinal counti amp hidd
47,2673,4,eparesearch dyk air pollut may trigger stroke well health effect learn pdf world
48,2673,0,aqi code maroon hazard particl pollut level pm10 pinal counti az area everyon av
49,2673,0,code red aqi particl pollut level pm10 phoenix az unhealthi peopl heart lung disea
50,2673,29,epa regist smartciti air challeng webinar 1031 hear commun utah amp dc use airqual data
51,2673,15,epa sun safe protect kid harm sun exposur kidsenvhealth
52,2673,5,eparesearch wildfir smoke complex mix co2 water vapor co particul matter hydrocarbon amp organ chemic nox amp
